symbol,current_price,total_score,trend1_pass,trend1_current,trend1_threshold,trend1_description,trend2_pass,trend2_current,trend2_threshold,trend2_description,snapback_pass,snapback_current,snapback_threshold,snapback_description,momentum_pass,momentum_current,momentum_threshold,momentum_description,stabilizing_pass,stabilizing_current,stabilizing_threshold,stabilizing_description,data_age_hours
FITB,38.19,2,True,38.19,37.8871,Price ($38.19) is above the 20-day EMA ($37.89),False,38.19,39.57,Price ($38.19) is below the 100-day EMA ($39.57),False,73.53,50.0,RSI (73.5) is above the threshold (50),False,38.19,38.19,Current price ($38.19) is below last week's close ($38.19),True,0.531667,0.651667,3-day ATR (0.53) is lower than 6-day ATR (0.65),0
PPL,34.75,2,False,34.75,34.8528,Price ($34.75) is below the 20-day EMA ($34.85),True,34.75,34.6202,Price ($34.75) is above the 100-day EMA ($34.62),True,49.68,50.0,RSI (49.7) is below the threshold (50),False,34.75,34.75,Current price ($34.75) is below last week's close ($34.75),False,0.63,0.585833,3-day ATR (0.63) is higher than 6-day ATR (0.59),0
ROL,57.25,3,True,57.25,56.5598,Price ($57.25) is above the 20-day EMA ($56.56),True,57.25,53.5532,Price ($57.25) is above the 100-day EMA ($53.55),False,53.01,50.0,RSI (53.0) is above the threshold (50),False,57.25,57.25,Current price ($57.25) is below last week's close ($57.25),True,0.724,0.732833,3-day ATR (0.72) is lower than 6-day ATR (0.73),0
GOOG,172.85,4,True,172.85,167.364,Price ($172.85) is above the 20-day EMA ($167.36),True,172.85,169.8544,Price ($172.85) is above the 100-day EMA ($169.85),True,49.66,50.0,RSI (49.7) is below the threshold (50),False,172.85,172.85,Current price ($172.85) is below last week's close ($172.85),True,4.000133,4.581733,3-day ATR (4.00) is lower than 6-day ATR (4.58),0
WFC,74.78,3,True,74.78,73.5518,Price ($74.78) is above the 20-day EMA ($73.55),True,74.78,72.3956,Price ($74.78) is above the 100-day EMA ($72.40),False,62.7,50.0,RSI (62.7) is above the threshold (50),False,74.78,74.78,Current price ($74.78) is below last week's close ($74.78),True,1.28,1.333333,3-day ATR (1.28) is lower than 6-day ATR (1.33),0
CVX,136.7,1,False,136.7,138.2636,Price ($136.70) is below the 20-day EMA ($138.26),False,136.7,147.1447,Price ($136.70) is below the 100-day EMA ($147.14),True,41.33,50.0,RSI (41.3) is below the threshold (50),False,136.7,136.7,Current price ($136.70) is below last week's close ($136.70),False,2.583333,2.3765,3-day ATR (2.58) is higher than 6-day ATR (2.38),0
MCD,313.85,1,False,313.85,314.3036,Price ($313.85) is below the 20-day EMA ($314.30),True,313.85,307.806,Price ($313.85) is above the 100-day EMA ($307.81),False,52.26,50.0,RSI (52.3) is above the threshold (50),False,313.85,313.85,Current price ($313.85) is below last week's close ($313.85),False,3.8753,3.6154,3-day ATR (3.88) is higher than 6-day ATR (3.62),0
PANW,192.42,2,True,192.42,187.2529,Price ($192.42) is above the 20-day EMA ($187.25),True,192.42,184.4239,Price ($192.42) is above the 100-day EMA ($184.42),False,52.05,50.0,RSI (52.0) is above the threshold (50),False,192.42,192.42,Current price ($192.42) is below last week's close ($192.42),False,5.1825,4.823067,3-day ATR (5.18) is higher than 6-day ATR (4.82),0
ADP,325.53,3,True,325.53,316.1317,Price ($325.53) is above the 20-day EMA ($316.13),True,325.53,304.7786,Price ($325.53) is above the 100-day EMA ($304.78),False,67.61,50.0,RSI (67.6) is above the threshold (50),False,325.53,325.53,Current price ($325.53) is below last week's close ($325.53),True,3.77,3.909167,3-day ATR (3.77) is lower than 6-day ATR (3.91),0
AMT,214.65,4,True,214.65,213.9367,Price ($214.65) is above the 20-day EMA ($213.94),True,214.65,208.163,Price ($214.65) is above the 100-day EMA ($208.16),True,45.66,50.0,RSI (45.7) is below the threshold (50),False,214.65,214.65,Current price ($214.65) is below last week's close ($214.65),True,3.156667,3.881667,3-day ATR (3.16) is lower than 6-day ATR (3.88),0
ECL,265.62,3,True,265.62,257.9005,Price ($265.62) is above the 20-day EMA ($257.90),True,265.62,251.1695,Price ($265.62) is above the 100-day EMA ($251.17),False,58.77,50.0,RSI (58.8) is above the threshold (50),False,265.62,265.62,Current price ($265.62) is below last week's close ($265.62),True,3.713333,3.7824,3-day ATR (3.71) is lower than 6-day ATR (3.78),0
SYY,73.0,2,True,73.0,71.9442,Price ($73.00) is above the 20-day EMA ($71.94),True,73.0,72.75,Price ($73.00) is above the 100-day EMA ($72.75),False,53.08,50.0,RSI (53.1) is above the threshold (50),False,73.0,73.0,Current price ($73.00) is below last week's close ($73.00),False,1.540667,1.277,3-day ATR (1.54) is higher than 6-day ATR (1.28),0
GIS,54.26,2,False,54.26,54.5251,Price ($54.26) is below the 20-day EMA ($54.53),False,54.26,58.1362,Price ($54.26) is below the 100-day EMA ($58.14),True,16.28,50.0,RSI (16.3) is below the threshold (50),False,54.26,54.26,Current price ($54.26) is below last week's close ($54.26),True,0.903,0.948167,3-day ATR (0.90) is lower than 6-day ATR (0.95),0
LVS,41.16,2,True,41.16,40.2272,Price ($41.16) is above the 20-day EMA ($40.23),False,41.16,41.3561,Price ($41.16) is below the 100-day EMA ($41.36),False,77.21,50.0,RSI (77.2) is above the threshold (50),False,41.16,41.16,Current price ($41.16) is below last week's close ($41.16),True,0.966667,1.199167,3-day ATR (0.97) is lower than 6-day ATR (1.20),0
IRM,98.71,2,True,98.71,96.2342,Price ($98.71) is above the 20-day EMA ($96.23),True,98.71,95.3693,Price ($98.71) is above the 100-day EMA ($95.37),False,74.6,50.0,RSI (74.6) is above the threshold (50),False,98.71,98.71,Current price ($98.71) is below last week's close ($98.71),False,1.751633,1.701233,3-day ATR (1.75) is higher than 6-day ATR (1.70),0
DTE,136.65,4,True,136.65,135.9767,Price ($136.65) is above the 20-day EMA ($135.98),True,136.65,131.6315,Price ($136.65) is above the 100-day EMA ($131.63),True,44.88,50.0,RSI (44.9) is below the threshold (50),False,136.65,136.65,Current price ($136.65) is below last week's close ($136.65),True,1.915833,2.091233,3-day ATR (1.92) is lower than 6-day ATR (2.09),0
HUM,233.13,2,False,233.13,240.4358,Price ($233.13) is below the 20-day EMA ($240.44),False,233.13,260.2384,Price ($233.13) is below the 100-day EMA ($260.24),True,39.73,50.0,RSI (39.7) is below the threshold (50),False,233.13,233.13,Current price ($233.13) is below last week's close ($233.13),True,5.569933,8.309133,3-day ATR (5.57) is lower than 6-day ATR (8.31),0
DOW,27.74,1,False,27.74,29.2245,Price ($27.74) is below the 20-day EMA ($29.22),False,27.74,33.7388,Price ($27.74) is below the 100-day EMA ($33.74),True,23.33,50.0,RSI (23.3) is below the threshold (50),False,27.74,27.74,Current price ($27.74) is below last week's close ($27.74),False,1.026667,0.8475,3-day ATR (1.03) is higher than 6-day ATR (0.85),0
TSN,56.16,2,False,56.16,56.5742,Price ($56.16) is below the 20-day EMA ($56.57),False,56.16,59.0436,Price ($56.16) is below the 100-day EMA ($59.04),True,19.69,50.0,RSI (19.7) is below the threshold (50),False,56.16,56.16,Current price ($56.16) is below last week's close ($56.16),True,0.988167,1.010583,3-day ATR (0.99) is lower than 6-day ATR (1.01),0
UNH,301.91,2,False,301.91,335.0001,Price ($301.91) is below the 20-day EMA ($335.00),False,301.91,452.5639,Price ($301.91) is below the 100-day EMA ($452.56),True,19.98,50.0,RSI (20.0) is below the threshold (50),False,301.91,301.91,Current price ($301.91) is below last week's close ($301.91),True,9.560433,10.121867,3-day ATR (9.56) is lower than 6-day ATR (10.12),0
HD,368.29,2,True,368.29,368.1675,Price ($368.29) is above the 20-day EMA ($368.17),False,368.29,375.3766,Price ($368.29) is below the 100-day EMA ($375.38),False,60.25,50.0,RSI (60.3) is above the threshold (50),False,368.29,368.29,Current price ($368.29) is below last week's close ($368.29),True,4.842267,5.6028,3-day ATR (4.84) is lower than 6-day ATR (5.60),0
V,365.19,3,True,365.19,356.2363,Price ($365.19) is above the 20-day EMA ($356.24),True,365.19,340.6332,Price ($365.19) is above the 100-day EMA ($340.63),False,59.61,50.0,RSI (59.6) is above the threshold (50),False,365.19,365.19,Current price ($365.19) is below last week's close ($365.19),True,4.293333,4.755,3-day ATR (4.29) is lower than 6-day ATR (4.75),0
PM,180.59,2,True,180.59,173.3071,Price ($180.59) is above the 20-day EMA ($173.31),True,180.59,156.2943,Price ($180.59) is above the 100-day EMA ($156.29),False,84.55,50.0,RSI (84.5) is above the threshold (50),False,180.59,180.59,Current price ($180.59) is below last week's close ($180.59),False,3.073333,3.011667,3-day ATR (3.07) is higher than 6-day ATR (3.01),0
CMCSA,34.57,1,False,34.57,34.6954,Price ($34.57) is below the 20-day EMA ($34.70),False,34.57,35.953,Price ($34.57) is below the 100-day EMA ($35.95),True,48.01,50.0,RSI (48.0) is below the threshold (50),False,34.57,34.57,Current price ($34.57) is below last week's close ($34.57),False,0.726567,0.646617,3-day ATR (0.73) is higher than 6-day ATR (0.65),0
UNP,221.66,0,False,221.66,223.1483,Price ($221.66) is below the 20-day EMA ($223.15),False,221.66,228.8198,Price ($221.66) is below the 100-day EMA ($228.82),False,51.05,50.0,RSI (51.0) is above the threshold (50),False,221.66,221.66,Current price ($221.66) is below last week's close ($221.66),False,3.191667,2.975,3-day ATR (3.19) is higher than 6-day ATR (2.97),0
ETN,320.2,4,True,320.2,316.7282,Price ($320.20) is above the 20-day EMA ($316.73),True,320.2,309.6145,Price ($320.20) is above the 100-day EMA ($309.61),True,46.29,50.0,RSI (46.3) is below the threshold (50),False,320.2,320.2,Current price ($320.20) is below last week's close ($320.20),True,6.846667,7.7371,3-day ATR (6.85) is lower than 6-day ATR (7.74),0
SBUX,83.95,2,False,83.95,84.7898,Price ($83.95) is below the 20-day EMA ($84.79),False,83.95,91.9108,Price ($83.95) is below the 100-day EMA ($91.91),True,47.83,50.0,RSI (47.8) is below the threshold (50),False,83.95,83.95,Current price ($83.95) is below last week's close ($83.95),True,2.144233,2.189617,3-day ATR (2.14) is lower than 6-day ATR (2.19),0
CTAS,226.5,3,True,226.5,219.4,Price ($226.50) is above the 20-day EMA ($219.40),True,226.5,209.1801,Price ($226.50) is above the 100-day EMA ($209.18),False,77.99,50.0,RSI (78.0) is above the threshold (50),False,226.5,226.5,Current price ($226.50) is below last week's close ($226.50),True,2.693333,3.172483,3-day ATR (2.69) is lower than 6-day ATR (3.17),0
WEC,107.44,2,True,107.44,106.6818,Price ($107.44) is above the 20-day EMA ($106.68),True,107.44,104.5994,Price ($107.44) is above the 100-day EMA ($104.60),False,60.26,50.0,RSI (60.3) is above the threshold (50),False,107.44,107.44,Current price ($107.44) is below last week's close ($107.44),False,1.963333,1.8775,3-day ATR (1.96) is higher than 6-day ATR (1.88),0
STZ,178.29,0,False,178.29,185.2864,Price ($178.29) is below the 20-day EMA ($185.29),False,178.29,190.8699,Price ($178.29) is below the 100-day EMA ($190.87),False,80.13,50.0,RSI (80.1) is above the threshold (50),False,178.29,178.29,Current price ($178.29) is below last week's close ($178.29),False,4.473333,3.763133,3-day ATR (4.47) is higher than 6-day ATR (3.76),0
ABNB,129.0,2,True,129.0,128.6994,Price ($129.00) is above the 20-day EMA ($128.70),True,129.0,128.4821,Price ($129.00) is above the 100-day EMA ($128.48),False,58.58,50.0,RSI (58.6) is above the threshold (50),False,129.0,129.0,Current price ($129.00) is below last week's close ($129.00),False,3.058333,2.982333,3-day ATR (3.06) is higher than 6-day ATR (2.98),0
ZTS,168.63,4,True,168.63,161.884,Price ($168.63) is above the 20-day EMA ($161.88),True,168.63,162.1777,Price ($168.63) is above the 100-day EMA ($162.18),True,47.46,50.0,RSI (47.5) is below the threshold (50),False,168.63,168.63,Current price ($168.63) is below last week's close ($168.63),True,3.086667,3.243333,3-day ATR (3.09) is lower than 6-day ATR (3.24),0
GD,278.49,2,True,278.49,275.5752,Price ($278.49) is above the 20-day EMA ($275.58),True,278.49,270.7416,Price ($278.49) is above the 100-day EMA ($270.74),False,54.25,50.0,RSI (54.2) is above the threshold (50),False,278.49,278.49,Current price ($278.49) is below last week's close ($278.49),False,5.293233,4.717433,3-day ATR (5.29) is higher than 6-day ATR (4.72),0
GDDY,182.15,2,False,182.15,183.2049,Price ($182.15) is below the 20-day EMA ($183.20),False,182.15,184.4504,Price ($182.15) is below the 100-day EMA ($184.45),True,35.42,50.0,RSI (35.4) is below the threshold (50),False,182.15,182.15,Current price ($182.15) is below last week's close ($182.15),True,2.718867,2.879433,3-day ATR (2.72) is lower than 6-day ATR (2.88),0
IP,47.81,1,False,47.81,48.0021,Price ($47.81) is below the 20-day EMA ($48.00),False,47.81,50.7335,Price ($47.81) is below the 100-day EMA ($50.73),False,58.38,50.0,RSI (58.4) is above the threshold (50),False,47.81,47.81,Current price ($47.81) is below last week's close ($47.81),True,0.843333,0.940833,3-day ATR (0.84) is lower than 6-day ATR (0.94),0
ES,64.81,2,True,64.81,62.7486,Price ($64.81) is above the 20-day EMA ($62.75),True,64.81,60.6627,Price ($64.81) is above the 100-day EMA ($60.66),False,70.94,50.0,RSI (70.9) is above the threshold (50),False,64.81,64.81,Current price ($64.81) is below last week's close ($64.81),False,1.548333,1.530833,3-day ATR (1.55) is higher than 6-day ATR (1.53),0
FTV,70.19,1,False,70.19,70.5874,Price ($70.19) is below the 20-day EMA ($70.59),False,70.19,72.586,Price ($70.19) is below the 100-day EMA ($72.59),True,47.15,50.0,RSI (47.1) is below the threshold (50),False,70.19,70.19,Current price ($70.19) is below last week's close ($70.19),False,1.515,1.310833,3-day ATR (1.52) is higher than 6-day ATR (1.31),0
CDW,180.36,3,True,180.36,179.6531,Price ($180.36) is above the 20-day EMA ($179.65),True,180.36,174.0142,Price ($180.36) is above the 100-day EMA ($174.01),False,82.92,50.0,RSI (82.9) is above the threshold (50),False,180.36,180.36,Current price ($180.36) is below last week's close ($180.36),True,3.825,4.174167,3-day ATR (3.82) is lower than 6-day ATR (4.17),0
EL,66.94,3,True,66.94,64.124,Price ($66.94) is above the 20-day EMA ($64.12),True,66.94,65.2101,Price ($66.94) is above the 100-day EMA ($65.21),False,54.31,50.0,RSI (54.3) is above the threshold (50),False,66.94,66.94,Current price ($66.94) is below last week's close ($66.94),True,2.13,2.273317,3-day ATR (2.13) is lower than 6-day ATR (2.27),0
FOX,50.28,2,True,50.28,49.7675,Price ($50.28) is above the 20-day EMA ($49.77),True,50.28,48.3119,Price ($50.28) is above the 100-day EMA ($48.31),False,61.56,50.0,RSI (61.6) is above the threshold (50),False,50.28,50.28,Current price ($50.28) is below last week's close ($50.28),False,1.230367,0.989017,3-day ATR (1.23) is higher than 6-day ATR (0.99),0
WMT,98.72,2,True,98.72,96.793,Price ($98.72) is above the 20-day EMA ($96.79),True,98.72,93.5594,Price ($98.72) is above the 100-day EMA ($93.56),False,85.16,50.0,RSI (85.2) is above the threshold (50),False,98.72,98.72,Current price ($98.72) is below last week's close ($98.72),False,1.476367,1.428183,3-day ATR (1.48) is higher than 6-day ATR (1.43),0
PG,169.89,4,True,169.89,164.8249,Price ($169.89) is above the 20-day EMA ($164.82),True,169.89,165.9137,Price ($169.89) is above the 100-day EMA ($165.91),True,22.42,50.0,RSI (22.4) is below the threshold (50),False,169.89,169.89,Current price ($169.89) is below last week's close ($169.89),True,2.253333,2.398267,3-day ATR (2.25) is lower than 6-day ATR (2.40),0
PDD,96.51,1,False,96.51,108.8723,Price ($96.51) is below the 20-day EMA ($108.87),False,96.51,110.2365,Price ($96.51) is below the 100-day EMA ($110.24),False,85.39,50.0,RSI (85.4) is above the threshold (50),False,96.51,96.51,Current price ($96.51) is below last week's close ($96.51),True,3.941333,6.939833,3-day ATR (3.94) is lower than 6-day ATR (6.94),0
VRTX,442.05,2,False,442.05,448.5836,Price ($442.05) is below the 20-day EMA ($448.58),False,442.05,467.0195,Price ($442.05) is below the 100-day EMA ($467.02),True,18.34,50.0,RSI (18.3) is below the threshold (50),False,442.05,442.05,Current price ($442.05) is below last week's close ($442.05),True,7.773333,8.566667,3-day ATR (7.77) is lower than 6-day ATR (8.57),0
BMY,48.28,1,True,48.28,47.7803,Price ($48.28) is above the 20-day EMA ($47.78),False,48.28,53.0985,Price ($48.28) is below the 100-day EMA ($53.10),False,60.67,50.0,RSI (60.7) is above the threshold (50),False,48.28,48.28,Current price ($48.28) is below last week's close ($48.28),False,1.0356,0.860667,3-day ATR (1.04) is higher than 6-day ATR (0.86),0
FI,162.79,0,False,162.79,171.6905,Price ($162.79) is below the 20-day EMA ($171.69),False,162.79,198.3384,Price ($162.79) is below the 100-day EMA ($198.34),False,52.36,50.0,RSI (52.4) is above the threshold (50),False,162.79,162.79,Current price ($162.79) is below last week's close ($162.79),False,3.78,3.105,3-day ATR (3.78) is higher than 6-day ATR (3.10),0
ELV,383.84,1,False,383.84,394.5639,Price ($383.84) is below the 20-day EMA ($394.56),False,383.84,406.1967,Price ($383.84) is below the 100-day EMA ($406.20),False,56.73,50.0,RSI (56.7) is above the threshold (50),False,383.84,383.84,Current price ($383.84) is below last week's close ($383.84),True,9.515,11.896667,3-day ATR (9.51) is lower than 6-day ATR (11.90),0
INTC,19.55,0,False,19.55,20.6691,Price ($19.55) is below the 20-day EMA ($20.67),False,19.55,21.4691,Price ($19.55) is below the 100-day EMA ($21.47),False,54.95,50.0,RSI (54.9) is above the threshold (50),False,19.55,19.55,Current price ($19.55) is below last week's close ($19.55),False,0.585,0.5625,3-day ATR (0.59) is higher than 6-day ATR (0.56),0
VICI,31.71,4,True,31.71,31.6682,Price ($31.71) is above the 20-day EMA ($31.67),True,31.71,31.4492,Price ($31.71) is above the 100-day EMA ($31.45),True,45.97,50.0,RSI (46.0) is below the threshold (50),False,31.71,31.71,Current price ($31.71) is below last week's close ($31.71),True,0.411667,0.424167,3-day ATR (0.41) is lower than 6-day ATR (0.42),0
CSGP,73.56,1,False,73.56,75.4665,Price ($73.56) is below the 20-day EMA ($75.47),False,73.56,76.5644,Price ($73.56) is below the 100-day EMA ($76.56),True,36.98,50.0,RSI (37.0) is below the threshold (50),False,73.56,73.56,Current price ($73.56) is below last week's close ($73.56),False,1.448333,1.316667,3-day ATR (1.45) is higher than 6-day ATR (1.32),0
DVN,30.26,0,False,30.26,31.62,Price ($30.26) is below the 20-day EMA ($31.62),False,30.26,33.3869,Price ($30.26) is below the 100-day EMA ($33.39),False,60.76,50.0,RSI (60.8) is above the threshold (50),False,30.26,30.26,Current price ($30.26) is below last week's close ($30.26),False,0.807,0.7535,3-day ATR (0.81) is higher than 6-day ATR (0.75),0
JPM,264.0,3,True,264.0,259.1059,Price ($264.00) is above the 20-day EMA ($259.11),True,264.0,249.8659,Price ($264.00) is above the 100-day EMA ($249.87),False,61.66,50.0,RSI (61.7) is above the threshold (50),False,264.0,264.0,Current price ($264.00) is below last week's close ($264.00),True,3.101633,3.886017,3-day ATR (3.10) is lower than 6-day ATR (3.89),0
COST,1040.18,2,True,1040.18,1011.8267,Price ($1040.18) is above the 20-day EMA ($1011.83),True,1040.18,981.7614,Price ($1040.18) is above the 100-day EMA ($981.76),False,59.54,50.0,RSI (59.5) is above the threshold (50),False,1040.18,1040.18,Current price ($1040.18) is below last week's close ($1040.18),False,25.361667,18.72,3-day ATR (25.36) is higher than 6-day ATR (18.72),0
DHR,189.9,2,False,189.9,191.6756,Price ($189.90) is below the 20-day EMA ($191.68),False,189.9,204.7368,Price ($189.90) is below the 100-day EMA ($204.74),True,30.92,50.0,RSI (30.9) is below the threshold (50),False,189.9,189.9,Current price ($189.90) is below last week's close ($189.90),True,3.265,3.989167,3-day ATR (3.27) is lower than 6-day ATR (3.99),0
LOW,225.73,1,False,225.73,226.2035,Price ($225.73) is below the 20-day EMA ($226.20),False,225.73,235.424,Price ($225.73) is below the 100-day EMA ($235.42),False,51.09,50.0,RSI (51.1) is above the threshold (50),False,225.73,225.73,Current price ($225.73) is below last week's close ($225.73),True,3.533333,3.886667,3-day ATR (3.53) is lower than 6-day ATR (3.89),0
COF,189.15,2,False,189.15,189.2334,Price ($189.15) is below the 20-day EMA ($189.23),True,189.15,184.0318,Price ($189.15) is above the 100-day EMA ($184.03),False,67.55,50.0,RSI (67.5) is above the threshold (50),False,189.15,189.15,Current price ($189.15) is below last week's close ($189.15),True,3.595,4.464167,3-day ATR (3.59) is lower than 6-day ATR (4.46),0
CRWD,471.37,3,True,471.37,442.3904,Price ($471.37) is above the 20-day EMA ($442.39),True,471.37,398.0456,Price ($471.37) is above the 100-day EMA ($398.05),False,66.92,50.0,RSI (66.9) is above the threshold (50),False,471.37,471.37,Current price ($471.37) is below last week's close ($471.37),True,14.2833,17.149983,3-day ATR (14.28) is lower than 6-day ATR (17.15),0
MMC,233.66,2,True,233.66,229.0416,Price ($233.66) is above the 20-day EMA ($229.04),True,233.66,227.4717,Price ($233.66) is above the 100-day EMA ($227.47),False,71.88,50.0,RSI (71.9) is above the threshold (50),False,233.66,233.66,Current price ($233.66) is below last week's close ($233.66),False,4.13,3.853333,3-day ATR (4.13) is higher than 6-day ATR (3.85),0
CEG,306.15,3,True,306.15,282.985,Price ($306.15) is above the 20-day EMA ($282.98),True,306.15,252.0254,Price ($306.15) is above the 100-day EMA ($252.03),False,76.92,50.0,RSI (76.9) is above the threshold (50),False,306.15,306.15,Current price ($306.15) is below last week's close ($306.15),True,9.355,10.944933,3-day ATR (9.35) is lower than 6-day ATR (10.94),0
BRO,112.9,3,True,112.9,111.8226,Price ($112.90) is above the 20-day EMA ($111.82),True,112.9,112.8275,Price ($112.90) is above the 100-day EMA ($112.83),False,51.77,50.0,RSI (51.8) is above the threshold (50),False,112.9,112.9,Current price ($112.90) is below last week's close ($112.90),True,1.715533,1.7295,3-day ATR (1.72) is lower than 6-day ATR (1.73),0
HSY,160.69,1,True,160.69,160.4711,Price ($160.69) is above the 20-day EMA ($160.47),False,160.69,165.6751,Price ($160.69) is below the 100-day EMA ($165.68),False,56.86,50.0,RSI (56.9) is above the threshold (50),False,160.69,160.69,Current price ($160.69) is below last week's close ($160.69),False,4.5633,4.32165,3-day ATR (4.56) is higher than 6-day ATR (4.32),0
TT,430.27,3,True,430.27,414.9774,Price ($430.27) is above the 20-day EMA ($414.98),True,430.27,380.8235,Price ($430.27) is above the 100-day EMA ($380.82),False,90.07,50.0,RSI (90.1) is above the threshold (50),False,430.27,430.27,Current price ($430.27) is below last week's close ($430.27),True,5.22,7.3725,3-day ATR (5.22) is lower than 6-day ATR (7.37),0
XOM,102.3,1,False,102.3,104.9513,Price ($102.30) is below the 20-day EMA ($104.95),False,102.3,108.9384,Price ($102.30) is below the 100-day EMA ($108.94),True,26.23,50.0,RSI (26.2) is below the threshold (50),False,102.3,102.3,Current price ($102.30) is below last week's close ($102.30),False,1.746067,1.560533,3-day ATR (1.75) is higher than 6-day ATR (1.56),0
MA,585.6,3,True,585.6,569.1192,Price ($585.60) is above the 20-day EMA ($569.12),True,585.6,546.5339,Price ($585.60) is above the 100-day EMA ($546.53),False,70.89,50.0,RSI (70.9) is above the threshold (50),False,585.6,585.6,Current price ($585.60) is below last week's close ($585.60),True,6.876667,7.5777,3-day ATR (6.88) is lower than 6-day ATR (7.58),0
ICE,179.8,3,True,179.8,174.7951,Price ($179.80) is above the 20-day EMA ($174.80),True,179.8,167.0771,Price ($179.80) is above the 100-day EMA ($167.08),False,80.99,50.0,RSI (81.0) is above the threshold (50),False,179.8,179.8,Current price ($179.80) is below last week's close ($179.80),True,1.8683,2.362483,3-day ATR (1.87) is lower than 6-day ATR (2.36),0
ADI,213.98,3,True,213.98,212.7116,Price ($213.98) is above the 20-day EMA ($212.71),True,213.98,207.6973,Price ($213.98) is above the 100-day EMA ($207.70),False,67.15,50.0,RSI (67.2) is above the threshold (50),False,213.98,213.98,Current price ($213.98) is below last week's close ($213.98),True,4.09,6.4375,3-day ATR (4.09) is lower than 6-day ATR (6.44),0
